,year,att,std,q_model,g_model,q_accuracy,g_accuracy,response,treat_year
47,2005,1.4635527768073138,1.8642432792015289,xgb_100,large_randf,0.7776224117688164,0.9052875190364297,insured,1997
48,2006,4.168037185894022,1.8791765232529476,xgb_100,large_randf,0.7776224117688164,0.9052875190364297,insured,1997
49,2007,2.508053147459948,1.8849045890533334,xgb_100,large_randf,0.7776224117688164,0.9052875190364297,insured,1997
50,2008,3.2232284315406443,1.8682719128343936,xgb_100,large_randf,0.7776224117688164,0.9052875190364297,insured,1997
51,1992,0.8952543524331188,0.9652570970587747,xgb_100,large_randf,0.899546424378545,0.8583797236230272,pubonly,1998
52,1993,0.04536001056156249,0.9868467924630281,xgb_100,large_randf,0.899546424378545,0.8583797236230272,pubonly,1998
53,1994,-1.1190943835905791,1.0770345038952658,xgb_100,large_randf,0.899546424378545,0.8583797236230272,pubonly,1998
54,1995,1.0609667348220935,1.1177508671112901,xgb_100,large_randf,0.899546424378545,0.8583797236230272,pubonly,1998
55,1996,-1.8881865221313572,1.1789546632121917,xgb_100,large_randf,0.899546424378545,0.8583797236230272,pubonly,1998
56,1997,0.8664188249311209,1.1831550471182417,xgb_100,large_randf,0.899546424378545,0.8583797236230272,pubonly,1998
57,1998,0.3884837621210599,1.1143681527847187,xgb_100,large_randf,0.899546424378545,0.8583797236230272,pubonly,1998
58,1999,0.9793458314252554,1.1413776580241453,xgb_100,large_randf,0.899546424378545,0.8583797236230272,pubonly,1998
59,2000,4.088425954292899,1.0834969718070895,xgb_100,large_randf,0.899546424378545,0.8583797236230272,pubonly,1998
60,2001,2.7545580136115277,0.9873760708465874,xgb_100,large_randf,0.899546424378545,0.8583797236230272,pubonly,1998
61,2002,2.1606769529604075,1.0109457406058258,xgb_100,large_randf,0.899546424378545,0.8583797236230272,pubonly,1998
62,2003,3.350977687443198,1.0166230638510363,xgb_100,large_randf,0.899546424378545,0.8583797236230272,pubonly,1998
63,2004,4.947130902785552,1.023679783111736,xgb_100,large_randf,0.899546424378545,0.8583797236230272,pubonly,1998
64,2005,3.347420102950164,1.049258442264848,xgb_100,large_randf,0.899546424378545,0.8583797236230272,pubonly,1998
65,2006,3.4341421693277017,1.0608028396269018,xgb_100,large_randf,0.899546424378545,0.8583797236230272,pubonly,1998
66,2007,4.1040284100299305,1.0426584089603133,xgb_100,large_randf,0.899546424378545,0.8583797236230272,pubonly,1998
67,2008,5.35430066437085,1.0384849894885175,xgb_100,large_randf,0.899546424378545,0.8583797236230272,pubonly,1998
68,1992,0.8721809413102799,1.4912813180241324,xgb_100,large_randf,0.7567777513275551,0.8583797236230272,privonly,1998
69,1993,-2.590192163995896,1.5121155474376164,xgb_100,large_randf,0.7567777513275551,0.8583797236230272,privonly,1998
