,year,att,std,q_model,g_model,q_accuracy,g_accuracy,response,treat_year
48,2006,3.8094470659996693,1.7088047663662642,adab,large_randf,0.8965060377940386,0.8368773331586874,pubonly,1998
49,2007,4.9490942517176615,1.7057109631426435,adab,large_randf,0.8965060377940386,0.8368773331586874,pubonly,1998
50,2008,5.649831393378168,1.6813434284135724,adab,large_randf,0.8965060377940386,0.8368773331586874,pubonly,1998
51,1992,0.406127135395721,1.009830894023007,xgb_100,large_randf,0.9046432246096247,0.8368773331586874,pubonly,1998
52,1993,0.47269110219710475,0.9962175533263483,xgb_100,large_randf,0.9046432246096247,0.8368773331586874,pubonly,1998
53,1994,-0.9372363678578872,1.0221161080122916,xgb_100,large_randf,0.9046432246096247,0.8368773331586874,pubonly,1998
54,1995,-0.24803520910214064,1.081900261081256,xgb_100,large_randf,0.9046432246096247,0.8368773331586874,pubonly,1998
55,1996,-2.2622301479630686,1.1859792303997385,xgb_100,large_randf,0.9046432246096247,0.8368773331586874,pubonly,1998
56,1997,0.8845269787402025,1.2006401392073927,xgb_100,large_randf,0.9046432246096247,0.8368773331586874,pubonly,1998
57,1998,0.08608916293752245,1.2090228718381597,xgb_100,large_randf,0.9046432246096247,0.8368773331586874,pubonly,1998
58,1999,1.2766895796245805,1.1411063059907494,xgb_100,large_randf,0.9046432246096247,0.8368773331586874,pubonly,1998
59,2000,4.153356240069076,1.1570371199710914,xgb_100,large_randf,0.9046432246096247,0.8368773331586874,pubonly,1998
60,2001,3.3894019428172326,1.0055734438807686,xgb_100,large_randf,0.9046432246096247,0.8368773331586874,pubonly,1998
61,2002,2.6204870034053536,1.0861725138424188,xgb_100,large_randf,0.9046432246096247,0.8368773331586874,pubonly,1998
62,2003,3.590740627866013,1.076134610626422,xgb_100,large_randf,0.9046432246096247,0.8368773331586874,pubonly,1998
63,2004,5.621944354096468,1.0436538094130519,xgb_100,large_randf,0.9046432246096247,0.8368773331586874,pubonly,1998
64,2005,3.9963555133240938,1.0307131096088713,xgb_100,large_randf,0.9046432246096247,0.8368773331586874,pubonly,1998
65,2006,3.539321049900362,1.0634825480402814,xgb_100,large_randf,0.9046432246096247,0.8368773331586874,pubonly,1998
66,2007,4.551222611472829,1.0548098054987438,xgb_100,large_randf,0.9046432246096247,0.8368773331586874,pubonly,1998
67,2008,4.772574157617127,1.0272313978930971,xgb_100,large_randf,0.9046432246096247,0.8368773331586874,pubonly,1998
68,1992,0.18743623665299164,1.190851509398641,extra_trees,large_randf,0.8858355587332764,0.8368773331586874,pubonly,1998
69,1993,-0.48316985658847633,1.1956870192638602,extra_trees,large_randf,0.8858355587332764,0.8368773331586874,pubonly,1998
70,1994,-0.10803404296941616,1.218713407690619,extra_trees,large_randf,0.8858355587332764,0.8368773331586874,pubonly,1998
71,1995,-0.04912330240862587,1.24350701707822,extra_trees,large_randf,0.8858355587332764,0.8368773331586874,pubonly,1998
72,1996,-1.541434389586405,1.3404853649833652,extra_trees,large_randf,0.8858355587332764,0.8368773331586874,pubonly,1998
73,1997,1.4217047501737,1.27812242351664,extra_trees,large_randf,0.8858355587332764,0.8368773331586874,pubonly,1998
74,1998,-1.4186388887001777,1.160732065196978,extra_trees,large_randf,0.8858355587332764,0.8368773331586874,pubonly,1998
75,1999,-0.5365025727112354,1.197415913280366,extra_trees,large_randf,0.8858355587332764,0.8368773331586874,pubonly,1998
76,2000,1.4939592318140218,1.2120504651187831,extra_trees,large_randf,0.8858355587332764,0.8368773331586874,pubonly,1998
77,2001,0.829557561797978,1.0457423004274153,extra_trees,large_randf,0.8858355587332764,0.8368773331586874,pubonly,1998
78,2002,0.23881665370281357,1.0959531861825254,extra_trees,large_randf,0.8858355587332764,0.8368773331586874,pubonly,1998
79,2003,1.5452260051350852,1.1144482800537059,extra_trees,large_randf,0.8858355587332764,0.8368773331586874,pubonly,1998
80,2004,2.3640476472618026,1.0555443230099266,extra_trees,large_randf,0.8858355587332764,0.8368773331586874,pubonly,1998
81,2005,0.48424256474224653,1.0484390371194736,extra_trees,large_randf,0.8858355587332764,0.8368773331586874,pubonly,1998
82,2006,-0.6930775435523575,1.0871789526061868,extra_trees,large_randf,0.8858355587332764,0.8368773331586874,pubonly,1998
83,2007,-0.5333828085697138,1.1075684062924953,extra_trees,large_randf,0.8858355587332764,0.8368773331586874,pubonly,1998
84,2008,0.9505587691592157,1.1157508036125297,extra_trees,large_randf,0.8858355587332764,0.8368773331586874,pubonly,1998
